id,code_id_1,code_id_2,label
964,1472,1473,1
653,638,696,1
982,1027,1054,1
628,638,671,1
15,2,22,1
533,508,575,1
382,378,411,1
1006,1504,1505,1
447,444,482,1
749,796,809,1
479,512,519,1
863,784,926,1
1052,1548,1549,1
568,526,610,1
281,285,301,1
207,1352,1353,1
851,840,914,1
390,380,419,1
173,1284,1285,1
225,1388,1389,1
219,1376,1377,1
930,993,994,1
864,771,927,1
200,1338,1339,1
759,767,819,1
27,30,37,1
74,60,89,0
963,1029,1030,1
178,1294,1295,1
1003,1027,1078,1
151,1240,1241,1
838,767,901,1
135,1208,1209,1
400,378,429,1
875,767,938,1
446,444,481,1
854,792,917,1
1050,1544,1545,1
287,304,308,1
186,1310,1311,1
18,2,26,1
776,767,837,1
934,993,998,0
715,703,764,1
694,712,743,1
336,304,357,0
1078,1160,1162,1
587,501,629,1
789,767,851,1
1046,1536,1537,1
639,638,682,1
399,374,428,1
941,993,1005,1
898,767,961,1
556,501,598,0
398,380,427,1
455,446,490,1
1027,1526,1527,1
815,792,878,1
695,718,744,1
720,771,772,1
853,773,916,1
998,1038,1072,1
84,63,99,1
682,701,731,1
662,707,708,1
912,784,975,1
874,767,937,1
987,1490,1491,1
763,792,824,1
583,505,625,0
441,442,476,1
904,767,967,1
1065,1574,1575,1
392,393,421,1
836,792,899,1
350,304,371,1
767,771,828,1
270,285,290,1
893,807,956,1
829,792,892,1
416,444,450,1
141,1220,1221,1
468,501,504,1
426,444,460,1
522,505,564,0
194,1326,1327,1
1011,1035,1086,1
313,304,334,0
70,1176,1177,1
283,285,303,1
280,285,300,1
223,1384,1385,1
48,60,61,1
820,771,883,1
680,701,729,1
57,63,72,1
10,2,15,1
1060,1564,1565,1
700,703,749,1
797,792,859,1
980,1484,1485,1
262,1462,1463,1
571,501,613,0
641,638,684,1
314,304,335,1
46,6,58,1
887,792,950,1
657,638,700,0
659,703,704,1
630,638,673,1
595,501,637,0
437,444,472,0
946,993,1010,1
824,773,887,1
230,1398,1399,1
740,792,798,1
250,1438,1439,1
407,431,437,1
137,1212,1213,1
53,1172,1173,1
418,448,452,1
478,517,518,0
958,993,1022,0
517,505,559,1
688,712,737,1
652,638,695,1
122,132,140,1
260,1458,1459,1
258,1454,1455,1
424,442,458,1
352,304,373,1
460,444,495,1
169,1276,1277,1
213,1364,1365,1
605,638,648,1
357,382,383,1
248,1434,1435,1
578,501,620,0
808,767,871,1
933,993,997,0
60,63,75,0
330,304,351,0
88,63,104,1
111,109,128,0
474,512,513,1
174,1286,1287,1
538,508,580,0
590,505,632,0
2,4,5,1
1076,1594,1595,1
488,501,529,0
367,374,395,1
549,508,591,0
816,792,879,1
1040,1038,1115,1
900,771,963,1
22,30,31,1
249,1436,1437,1
209,1356,1357,1
212,1362,1363,1
938,993,1002,0
948,993,1012,1
845,771,908,1
439,446,474,1
559,512,601,0
143,1224,1225,1
346,304,367,1
1055,1554,1555,1
775,767,836,1
612,638,655,0
269,285,289,1
259,1456,1457,1
1086,1160,1170,1
368,382,396,1
1012,1510,1511,1
358,384,385,1
689,718,738,1
21,0,29,1
883,767,946,1
405,431,435,1
1010,1508,1509,1
707,712,756,1
128,1194,1195,1
295,304,316,0
264,1466,1467,1
860,784,923,1
1015,1514,1515,1
308,304,329,1
872,767,935,1
888,807,951,1
967,1035,1036,1
573,508,615,0
261,1460,1461,1
504,501,546,1
928,807,991,1
215,1368,1369,1
732,787,788,1
285,304,306,1
780,767,842,1
356,380,381,1
493,505,534,1
50,63,64,1
765,771,826,1
704,703,753,1
572,505,614,0
663,701,709,1
1002,1076,1077,1
681,703,730,1
354,376,377,1
809,792,872,1
738,771,795,1
197,1332,1333,1
434,468,469,1
1001,1500,1501,1
884,807,947,1
92,1184,1185,1
675,718,724,1
1013,1044,1088,1
286,304,307,0
957,993,1021,0
224,1386,1387,1
241,1420,1421,1
288,304,309,1
594,508,636,0
68,63,83,1
227,1392,1393,1
609,638,652,1
873,767,936,1
1051,1546,1547,1
161,1260,1261,1
667,712,715,1
606,638,649,1
410,431,440,1
462,444,497,1
812,800,875,1
661,701,706,1
515,526,557,0
569,501,611,1
164,1266,1267,1
345,304,366,1
542,526,584,0
631,638,674,0
520,508,562,0
116,132,134,1
414,446,447,1
466,501,502,1
788,784,850,1
360,376,387,1
878,796,941,1
176,1290,1291,1
511,517,553,1
277,285,297,1
764,792,825,1
305,304,326,1
180,1298,1299,1
879,767,942,1
1072,1586,1587,1
379,393,408,1
432,444,466,1
579,526,621,0
443,446,478,1
962,1027,1028,1
618,638,661,1
102,109,119,1
206,1350,1351,1
1083,1160,1167,1
1030,1044,1105,1
500,512,541,0
427,444,461,1
337,304,358,0
1000,1055,1074,1
363,378,390,1
892,767,955,1
436,448,471,1
850,792,913,1
729,773,783,1
611,638,654,1
847,767,910,1
513,508,555,0
1017,1516,1517,1
570,505,612,1
385,374,414,1
977,1478,1479,1
254,1446,1447,1
748,807,808,1
38,6,49,1
537,508,579,0
658,701,702,1
457,444,492,1
882,771,945,1
272,285,292,1
366,393,394,1
274,285,294,1
686,701,735,1
229,1396,1397,1
365,378,392,1
906,769,969,1
771,792,832,1
106,109,123,1
485,505,525,0
708,712,757,1
577,505,619,1
163,1264,1265,1
903,767,966,1
633,638,676,1
54,63,69,1
115,132,133,1
800,792,862,1
519,512,561,0
540,505,582,0
551,505,593,1
123,132,141,1
950,993,1014,0
842,778,905,1
523,501,565,0
380,380,409,1
920,792,983,1
204,1346,1347,1
271,285,291,1
582,517,624,0
175,1288,1289,1
1020,1038,1095,1
239,1416,1417,1
733,767,789,1
381,380,410,1
292,304,313,1
827,840,890,1
403,431,433,1
37,16,48,1
803,767,866,1
959,993,1023,0
190,1318,1319,1
634,638,677,1
654,638,697,1
464,448,499,0
109,109,126,1
257,1452,1453,1
435,448,470,0
386,380,415,1
73,63,88,1
692,703,741,1
931,993,995,0
497,505,538,0
1077,1160,1161,1
412,442,443,1
1007,1506,1507,1
67,60,82,0
470,505,507,0
1047,1538,1539,1
742,800,801,1
5,6,9,1
886,769,949,1
600,638,643,1
843,767,906,1
995,1044,1069,1
421,444,455,0
481,505,521,1
1018,1518,1519,1
804,792,867,1
221,1380,1381,1
338,304,359,1
450,442,485,1
306,304,327,0
626,638,669,0
811,767,874,1
120,132,138,1
97,109,114,1
266,285,286,1
255,1448,1449,1
617,638,660,1
237,1412,1413,1
935,993,999,1
8,10,13,1
855,767,918,1
1071,1584,1585,1
991,1494,1495,1
317,304,338,1
351,304,372,1
45,35,57,1
947,993,1011,0
433,444,467,0
1070,1582,1583,1
1075,1592,1593,1
607,638,650,1
191,1320,1321,1
832,773,895,1
723,767,776,1
870,784,933,1
539,517,581,0
59,1174,1175,1
936,993,1000,0
564,505,606,0
79,60,94,0
72,1178,1179,1
217,1372,1373,1
1033,1530,1531,1
521,517,563,0
55,60,70,0
632,638,675,1
93,109,110,1
40,6,51,1
922,792,985,1
393,376,422,1
668,707,716,1
833,778,896,1
35,0,46,1
495,508,536,1
146,1230,1231,1
1008,1029,1083,1
999,1498,1499,1
640,638,683,1
647,638,690,1
952,993,1016,0
648,638,691,0
411,431,441,1
623,638,666,1
544,526,586,0
558,501,600,1
1032,1038,1107,1
697,703,746,1
475,508,514,1
1085,1160,1169,1
14,6,21,1
291,304,312,1
160,1258,1259,1
1084,1160,1168,1
454,444,489,0
487,517,528,0
518,505,560,0
693,703,742,1
546,505,588,1
865,773,928,1
1,2,3,1
541,508,583,0
798,773,860,1
956,993,1020,1
252,1442,1443,1
730,784,785,1
711,710,760,1
953,993,1017,1
159,1256,1257,1
449,442,484,1
95,109,112,1
597,638,640,1
319,304,340,0
638,638,681,1
561,512,603,0
304,304,325,0
181,1300,1301,1
325,304,346,0
89,63,105,1
973,1038,1043,1
34,6,45,1
814,800,877,1
30,6,41,1
184,1306,1307,1
1005,1502,1503,1
619,638,662,1
6,10,11,1
471,508,509,0
831,767,894,1
966,1029,1034,1
932,993,996,0
505,505,547,0
905,800,968,1
233,1404,1405,1
656,638,699,1
731,769,786,1
665,712,713,1
119,132,137,1
710,701,759,1
823,792,886,1
685,701,734,1
348,304,369,1
745,778,804,1
75,63,90,1
465,444,500,1
528,543,570,0
636,638,679,1
787,773,849,1
1074,1590,1591,1
1036,1029,1111,1
849,821,912,1
985,1488,1489,1
77,1180,1181,1
728,773,782,1
560,526,602,0
463,446,498,1
819,796,882,1
98,109,115,0
189,1316,1317,1
834,771,897,1
94,109,111,1
683,718,732,1
39,0,50,1
508,505,550,1
961,1470,1471,1
17,24,25,1
1054,1552,1553,1
124,1186,1187,1
972,1038,1042,1
417,444,451,0
524,505,566,0
12,18,19,1
364,380,391,1
598,638,641,1
359,376,386,1
655,638,698,1
64,63,79,0
132,1202,1203,1
52,60,66,1
282,285,302,1
592,505,634,0
177,1292,1293,1
268,285,288,1
1043,1035,1118,1
796,773,858,1
0,0,1,1
857,792,920,1
20,18,28,1
514,505,556,1
750,800,810,1
472,505,510,0
192,1322,1323,1
294,304,315,1
770,767,831,1
301,304,322,0
340,304,361,1
458,444,493,0
107,109,124,1
394,384,423,1
234,1406,1407,1
786,767,848,1
198,1334,1335,1
792,784,854,1
361,378,388,1
691,712,740,1
339,304,360,0
31,6,42,1
1034,1035,1109,1
563,508,605,0
979,1482,1483,1
678,712,727,1
